"id";"id_bidang";"id_kategori";"kode";"nama";"skor";"created_at";"updated_at";"created_by";"updated_by"
111;5;3;"5C3";"Cipta Karya Orisinal";30.0;"2024-12-07 07:56:03";"2024-12-07 07:56:03";4;0
112;5;3;"5C4";"Buku Ber-ISBN Penulis Pertama";30.0;"2024-12-07 07:56:40";"2024-12-07 07:56:40";4;0
113;5;3;"5C5";"Buku Ber-ISBN Penulis Kedua dst";20.0;"2024-12-07 07:57:12";"2024-12-07 07:57:12";4;0
114;5;3;"5C6";"Penulis Utama/Korespondensi Karya Ilmiah di Jurnal yang Bereputasi dan Diakui";30.0;"2024-12-07 07:57:55";"2024-12-07 07:57:55";4;0
115;5;3;"5C7";"Penulis Kedua (Bukan Korespondensi) dst Karya Ilmiah di Jurnal Bereputasi dan Diakui";20.0;"2024-12-07 07:58:37";"2024-12-07 07:58:37";4;0
116;6;1;"6A1";"Pemrakarsa/Pendiri";50.0;"2024-12-07 13:22:06";"2024-12-07 13:22:06";4;0
117;6;1;"6A2";"Koordinator Relawan";35.0;"2024-12-07 13:24:13";"2024-12-07 13:24:13";4;0
118;6;1;"6A3";"Relawan";25.0;"2024-12-07 13:25:41";"2024-12-07 13:25:41";4;0
119;6;2;"6B1";"Pemrakarsa/Pendiri";40.0;"2024-12-07 13:26:45";"2024-12-07 13:26:45";4;0
120;6;2;"6B2";"Koordinator Relawan";25.0;"2024-12-07 13:27:28";"2024-12-07 13:27:28";4;0
121;6;2;"6B3";"Relawan";15.0;"2024-12-07 13:28:15";"2024-12-07 13:28:15";4;0
122;6;3;"6C1";"Pemrakarsa/Pendiri";30.0;"2024-12-07 13:29:35";"2024-12-07 13:29:35";4;0
123;6;3;"6C2";"Koordinator Relawan";15.0;"2024-12-07 13:30:04";"2024-12-07 13:30:04";4;0
124;6;3;"6C3";"Relawan";10.0;"2024-12-07 13:31:46";"2024-12-07 13:31:46";4;0
125;6;4;"6D1";"Pemrakarsa/Pendiri";20.0;"2024-12-07 13:32:40";"2024-12-07 13:32:40";4;0
126;6;4;"6D2";"Koordinator Relawan";10.0;"2024-12-07 13:33:18";"2024-12-07 13:33:18";4;0
127;6;4;"6D3";"Relawan";5.0;"2024-12-07 13:33:39";"2024-12-07 13:33:39";4;0
128;6;2;"6E1";"Pemrakarsa/Pendiri";10.0;"2024-12-07 13:34:05";"2024-12-07 13:34:05";4;0
129;6;2;"6E2";"Koordinator Relawan";5.0;"2024-12-07 13:34:28";"2024-12-07 13:34:28";4;0
130;6;2;"6E3";"Relawan";3.0;"2024-12-07 13:34:49";"2024-12-07 13:34:49";4;0
131;7;1;"7A1";"Kewirausahaan Taraf Internasional";50.0;"2024-12-07 13:36:02";"2024-12-07 13:36:02";4;0
132;7;2;"7B1";"Kewirausahaan Taraf Regional";40.0;"2024-12-07 13:36:53";"2024-12-07 13:37:52";4;4
133;7;3;"7C1";"Kewirausahaan Taraf Nasional";30.0;"2024-12-07 13:37:29";"2024-12-07 13:38:16";4;4
134;7;1;"7D1";"Kewirausahaan Taraf Provinsi";20.0;"2024-12-07 13:38:51";"2024-12-07 13:38:51";4;0
135;7;2;"7E1";"Kewirausahaan Taraf Kab/Kota/PT";10.0;"2024-12-07 13:39:25";"2024-12-07 13:39:25";4;0
